Ruolo,Squadra,Nome,Kap.,8 sq. / 350,10 sq. / 350,8 sq. / 500,10 sq. / 500,M.V.,Pres.
C,Inter,LUIS HENRIQUEde Lima,10,,11.58,,9.27,"5,88",27
A,Cagliari,MALDINIDaniel,10,11.32,12.79,10.32,13.75,"5,94",18
D,Lazio,MARUSICAdam,10,11.27,11.65,10.05,12.84,"5,86",33
A,Bologna,MBANGULASamuel,10,,10.55,,10.01,,
C,Como,MILLALuis Manzanares,10,11.29,11.68,11.14,13.88,,
C,Parma,NICOLUSSI CAVIGLIAHans2025/2026,10,16.58,18.78,16.01,19.99,"5,89",23
C,Estero,NORTON-CUFFYBrooke,10,11.49,17.56,10.52,13.36,"5,92",27
D,Lazio,NUNO TAVARES-,10,14.84,17.63,16.10,17.78,"5,90",22
C,Fiorentina,OULAIChrist Ravynel Inao,10,11.83,14.44,10.20,13.26,,
D,Lazio,PEDRAZAAlfonso Sag,10,10.93,13.50,10.37,12.48,,
C,Venezia,PEREZKike,10,,11.67,10.39,,,
P,Torino,PERRILucas Estella,10,10.91,13.41,9.95,16.60,,
D,Estero,ROMAGNOLIAlessio,10,10.48,14.07,,13.28,"6,03",32
D,Bologna,THEATEArthur,10,11.29,13.96,9.67,12.99,,
D,Milan,TOMORIFikayo,10,,10.40,,11.87,"5,96",32
C,Genoa,TRAOREHamed Junior,10,,,10.13,,,
D,Fiorentina,VALDEPENASVíctor Talavera,10,11.09,11.93,10.02,12.17,,
D,Udinese,VOJVODAMergim,10,11.14,14.00,11.28,13.99,"6,01",27
C,Cagliari,WINKSHarry,10,,,,10.86,,
C,Bologna,ZORTEANadir,10,10.70,11.50,10.23,12.49,"5,85",28
C,Estero,AHANORHonest2025/2026,9,1.54,2.37,4.84,3.50,"5,78",21
C,Monza,AKINSANMIROEbenezer,9,,,,1.00,"5,80",23
C,Torino,BELGHALIRafik,9,3.14,7.56,,7.36,"6,09",26
C,Atalanta,BELLANOVARaoul,9,2.78,5.97,6.12,10.71,"5,81",22
C,Atalanta,BERNASCONILorenzo,9,3.23,7.06,6.50,7.83,"6,09",22
D,Napoli,BEUKEMASam,9,1.49,1.85,1.71,,"5,93",22
A,Cagliari,BORRELLIGennaro,9,,,,5.65,"5,92",26
A,Monza,DANY MOTA-,9,,1.58,,6.09,,
C,Lazio,DELE-BASHIRUFisayo2025/2026,9,,13.23,,14.31,"5,69",21
D,Estero,DJIMSITIBerat2025/2026,9,17.55,18.58,15.33,19.35,"5,86",33
C,Cagliari,FELICIMattia2025/2026,9,,,,,"6,04",11
D,Lecce,GALLOAntonino,9,1.16,1.22,2.13,4.93,"5,94",37
C,Torino,GINEITISGvidas2025/2026,9,,,,14.84,"5,87",27
C,Estero,GUTIERREZMiguel2025/2026,9,17.13,20.04,16.73,19.75,"5,97",21
A,Genoa,HAVELElias,9,,1.11,,,,
D,Bologna,HEGGEMTorbjørn,9,1.50,2.73,3.86,4.56,"5,84",25
D,Sassuolo,IDZESJay,9,1.89,2.93,2.98,3.14,"5,94",35
C,Atalanta,KRISTENSENThomas,9,2.54,5.47,6.27,7.02,"5,98",28
D,Sassuolo,LEYSENFedde,9,4.05,4.46,1.81,5.77,,
C,Milan,LOFTUS-CHEEKRuben,9,1.63,3.45,1.89,9.30,"6,09",21
A,Napoli,LUCCALorenzo,9,2.69,3.33,2.17,13.12,"5,72",9
D,Genoa,MARCANDALLIAlessandro,9,1.45,2.39,3.46,3.95,"5,87",31
C,Estero,MARTINAaron2025/2026,9,16.69,18.59,14.46,18.91,"5,96",29
A,Estero,MORATAAlvaro2025/2026,9,19.11,27.10,22.45,31.93,"5,50",17
C,Bologna,MORONikola2025/2026,9,,,,14.31,"5,92",28
P,Sassuolo,MURICArijanet,9,2.61,4.57,3.23,7.66,"6,07",32
A,Fiorentina,NJIEAlieu,9,2.40,9.24,3.64,9.65,"5,80",10
A,Cagliari,NZOLAM'Bala,9,,4.48,,11.44,"5,96",27
D,Sassuolo,OBRADORRafa,9,1.86,2.04,2.96,3.41,"6,06",16
A,Estero,ONDREJKAJacob2025/2026,9,16.21,26.95,,11.98,"5,70",15
A,Genoa,OSMAJICMilutin,9,,1.02,3.86,4.68,,
C,Torino,PATTERSONNathanNuovo,9,,,,,,
D,Inter,PAVARDBenjamin,9,2.08,2.76,5.68,5.21,"6,50",1
D,Roma,RENSCHDevyne,9,1.07,1.59,1.17,2.47,"6,15",19
A,Monza,ROBINSONJay,9,,2.82,,4.59,,
C,Cagliari,ROMANOAlessandro,9,6.87,8.23,5.73,7.21,,
P,Venezia,STANKOVICFilip,9,1.79,2.11,1.04,5.87,,
D,Lazio,SUTALOJosip,9,3.45,3.75,3.11,5.29,,
C,Frosinone,ZERBINAlessio,9,,,,6.71,"5,75",29
C,Sassuolo,ADZICVasilije,8,6.10,7.46,7.41,9.03,"6,12",4
C,Genoa,AMORIMAlex2025/2026,8,,,,2.42,"5,72",9
C,Sassuolo,BAKOLADarryl,8,1.10,2.95,4.25,4.35,"6,16",3
D,Cagliari,BEIDIFrancesco GalleaNuovo,8,,,,,,
D,Venezia,BELLA-KOTCHAPArmel,8,3.18,3.38,2.74,3.66,"5,83",18
C,Lecce,BERISHAMedon,8,,1.09,2.41,4.06,"6,16",12
A,Frosinone,BIRLIGEADanielNuovo,8,,,,,,
C,Torino,CACCIAMANIAlessio,8,4.67,4.94,6.30,8.15,,
A,Milan,CAMARDAFrancesco,8,1.53,3.13,5.26,4.98,"5,66",18
C,Lazio,CATALDIDanilo2025/2026,8,18.12,20.61,16.25,20.72,"6,07",27
A,Serie Minori,CHEDDIRAWalid2025/2026,8,,19.42,17.14,31.13,"5,81",24
D,Estero,CIRCATIAlessandro2025/2026,8,13.85,14.03,12.89,15.49,"5,91",31
D,Venezia,CORREIAThierry Rendall,8,2.14,1.98,,2.67,,
D,Sassuolo,DOIGJosh,8,1.56,1.92,3.46,4.69,"5,85",27
A,Sassuolo,DOMINGUEZBenjamín2025/2026,8,,15.20,,6.07,"5,83",12
C,Parma,FABBIANGiovanni,8,2.02,2.24,2.81,5.16,"5,79",22
C,Napoli,FAVASULICostantino2025/2026,8,,,,,,
C,Torino,FITZ-JIMKian,8,6.83,5.92,2.78,4.66,,
A,Parma,FRIGANMatija,8,,1.12,,,,
D,Roma,GHILARDIDaniele,8,1.67,2.18,0.99,5.24,"5,97",21
C,Frosinone,GRILLITSCHFlorianNuovo,8,,,,,,
C,Torino,ILKHANEmirhan2025/2026,8,,,,10.60,"5,82",17
D,Udinese,KABASELEChristian,8,1.14,2.26,2.78,5.68,"5,98",28
D,Juventus,KELLYLloyd,8,2.13,4.43,4.58,6.38,"6,01",35
C,Frosinone,KOUTSOUPIASIliasNuovo,8,,,,,,
A,Torino,KULENOVICSandro,8,,,,3.53,"5,71",7
C,Monza,MANGASRicardo Luís Chaby,8,2.70,4.11,3.51,4.55,,
C,Genoa,MEICHTRYFranz-Ethan,8,,2.66,,,,
D,Frosinone,MONTERISIIlario,8,1.89,3.64,2.02,4.09,,
D,Cagliari,OBERTAdam,8,1.61,2.44,2.08,4.14,"5,88",34
C,Napoli,OLIVERAMathías,8,,1.09,1.56,4.17,"5,75",22
C,Estero,PAYEROMartin2025/2026,8,,12.66,,5.30,"5,90",25
C,Estero,PEDERSENMarcus,8,,5.04,,,"5,83",28
C,Venezia,SOHMSimon2025/2026,8,14.61,16.97,16.34,21.41,"5,64",24
C,Cagliari,SUGAWARAYukinari,8,1.10,,,4.77,,
C,Monza,TOUREIdrissa2025/2026,8,13.57,15.55,11.97,15.43,"5,81",30
D,Lecce,VEIGADanilo de Melo,8,,1.74,2.77,5.59,"5,81",36
D,Fiorentina,VIERYViery,8,1.63,2.02,1.04,3.25,,
D,Sassuolo,WALUKIEWICZSebastian,8,,,,1.06,"5,80",34
A,Monza,ZEBALLOSExequiel,8,1.08,10.90,,1.41,,
